phc_id,state,district,subdistrict,name,latitude,longitude,is_active,beds,doctors,nurses
PHCR014838,Madhya Pradesh,Singroli,Baidhan (Singrauli),Langhadol,23.89898,82.27926833,False,,,
PHCR014839,Madhya Pradesh,Singroli,Baidhan (Singrauli),Mada,23.89907667,82.50427,False,,,
PHCR014840,Madhya Pradesh,Sagar,Rahatgarh,Naryaoli,23.91044426,78.58974812,False,,,
PHCR014841,Madhya Pradesh,Rajgarh,Biaora,Todi,23.91162934,77.17510386,False,,,
PHCR014842,Madhya Pradesh,Katni,Rithi,Badgaon,23.91481333,80.015945,False,,,
PHCR014843,Madhya Pradesh,Rajgarh,Biaora,UPHC Biaora,23.918565,76.911322,False,,,
PHCR014844,Madhya Pradesh,Rajgarh,Rajgarh,Karedi,23.92499188,76.656324,False,,,
PHCR014845,Madhya Pradesh,Katni,Katni,Kanhwara,23.9260857,80.45291387,False,,,
PHCR014846,Madhya Pradesh,Sidhi,Majhauli,Tala,23.931826,81.874337,False,,,
PHCR014847,Madhya Pradesh,Vidisha,Kurwai,Pathari,23.93689833,78.22546167,False,,,
PHCR014848,Madhya Pradesh,Katni,Vijayraghavgarh,Ghunaur,23.93691333,80.63653,False,,,
PHCR014849,Madhya Pradesh,Shahdol,Jaisinghnagar,UPHARI,23.94002,81.323438,False,,,
PHCR014850,Madhya Pradesh,Shahdol,Jaisinghnagar,TIHKI,23.94143259,81.36539208,False,,,
PHCR014851,Madhya Pradesh,Mandsaur,Mandsaur (Dhundharka),CHC Dhundharka,23.94492933,75.13110078,False,,,
PHCR014852,Madhya Pradesh,Sagar,Sagar (Shahpur),Karrapur,23.948188,78.866937,False,,,
PHCR014853,Madhya Pradesh,Katni,Vijayraghavgarh,Sinaudhi,23.95523717,80.68234965,False,,,
PHCR014854,Madhya Pradesh,Umaria,Manpur,Amarpur,23.958207,80.900033,False,,,
PHCR014855,Madhya Pradesh,Sidhi,Kusmi,Bhuimad,23.95877219,82.13388172,False,,,
PHCR014856,Madhya Pradesh,Sidhi,Kusmi,Pondi,23.96141938,81.75888885,False,,,
PHCR014857,Madhya Pradesh,Mandsaur,Sitamau,Deepakheda,23.961447,75.435323,False,,,
PHCR014858,Madhya Pradesh,Katni,Katni,badera,23.96227011,80.38112263,False,,,
PHCR014859,Madhya Pradesh,Vidisha,Basoda,Kulhar,23.97166,78.05694667,False,,,
PHCR014860,Madhya Pradesh,Sagar,Rahatgarh,Jaruakheda,23.973885,78.48535833,False,,,
PHCR014861,Madhya Pradesh,Sagar,Banda,Pataua,23.98155124,79.00753858,False,,,
PHCR014862,Madhya Pradesh,Mandsaur,Mandsaur (Dhundharka),Amlawad,23.98370442,75.04163204,False,,,
PHCR014863,Madhya Pradesh,Shahdol,Jaisinghnagar,BARACH,23.9844799,81.43385636,False,,,
